,Unnamed: 0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,track_title,album_title,album_artist,track_number,total_tracks,order,song_timbre,song_timbre_start,song_timbre_end,loudness_start,loudness_end
60,0,0.171,0.107,1,-19.987,1,0.0461,0.692,0.889,0.125,0.0365,79.783,10Hs48Pjj9yDGCX4nrmA82,251093,5,"Adagio For TRON - From ""TRON: Legacy""/Score",TRON: Legacy (Original Soundtrack),Daft Punk,10,24,0.416666667,0.1842412328505153,0.4992468055742622,0.4618238370450483,-35.049818181818175,-9.596
61,0,0.0,0.0345,0,-27.387,1,0.0,0.441,0.76,0.11,0.0,0.0,00RGE6HIkDpHRuOe7euRFt,101680,0,"Nocturne - From ""TRON: Legacy""/Score",TRON: Legacy (Original Soundtrack),Daft Punk,11,24,0.458333333,0.22164768794610487,0.1945376903423751,1.0,-19.8662,-21.899
62,0,0.509,0.448,10,-11.346,1,0.0248,0.000528,0.774,0.219,0.0466,98.023,2dvAXiSithfdh2ZSnuDq3z,156480,4,"End of Line - From ""TRON: Legacy""/Score",TRON: Legacy (Original Soundtrack),Daft Punk,12,24,0.5,0.33012015402977424,0.681056291566773,0.6297447259436861,-20.3142,-35.734
63,0,0.546,0.6,1,-10.055,1,0.0473,0.00152,0.751,0.0853,0.106,120.035,1VdJCLxcz0n7JYfmlOZGzg,104120,4,"Derezzed - From ""TRON: Legacy""/Score",TRON: Legacy (Original Soundtrack),Daft Punk,13,24,0.541666667,0.26811495146411174,0.5771454049249445,0.436701230751383,-29.908777777777782,-47.896
64,0,0.362,0.658,11,-10.213,0,0.0292,5.58e-05,0.927,0.157,0.261,90.013,0vmOjWuywORUOmtH7zqkTh,82613,4,"Fall - From ""TRON: Legacy""/Score",TRON: Legacy (Original Soundtrack),Daft Punk,14,24,0.583333333,0.2245252244614366,0.615153110237885,1.0,-54.8082,-7.912
65,0,0.176,0.177,10,-23.39,0,0.0401,0.846,0.814,0.103,0.0384,124.173,30IWbRmDhSMv7AKtsaCza2,162120,3,"Solar Sailer - From ""TRON: Legacy""/Score",TRON: Legacy (Original Soundtrack),Daft Punk,15,24,0.625,0.15858814183567188,0.329704553754695,0.9999999999999998,-21.32527272727273,-12.613
66,0,0.446,0.199,2,-14.841,1,0.0345,0.448,0.886,0.106,0.0392,131.913,5fb9TZeDNu7VvFVLuEHOT1,134053,4,"Rectifier - From ""TRON: Legacy""/Score",TRON: Legacy (Original Soundtrack),Daft Punk,16,24,0.666666667,0.16807734028027163,0.32106510944791367,1.0,-21.35788888888889,-5.692
67,0,0.551,0.481,2,-14.546,1,0.0297,0.44,0.904,0.115,0.375,160.016,0fLaqB7szaemRuEaObhIYj,251440,4,"Disc Wars - From ""TRON: Legacy""/Score",TRON: Legacy (Original Soundtrack),Daft Punk,17,24,0.708333333,0.28340516425936746,0.6731152025045367,0.576440451945911,-19.869374999999998,-37.535
68,0,0.346,0.506,10,-13.065,1,0.0335,0.366,0.801,0.154,0.056,88.076,1GkmYWBQty0KIGIpSUcKDm,279320,4,"C.L.U. - From ""TRON: Legacy""/Score",TRON: Legacy (Original Soundtrack),Daft Punk,18,24,0.75,0.3196817855461867,0.7389096210955146,0.6849050802397558,-24.699199999999998,-50.941
69,0,0.1,0.103,8,-22.535,0,0.0441,0.912,0.752,0.116,0.0738,79.25,7ALbJK9eM6GVYsfYBR5we9,120493,5,"Arrival - From ""TRON: Legacy""/Score",TRON: Legacy (Original Soundtrack),Daft Punk,19,24,0.791666667,0.3060979258343613,0.3919954127729818,0.3523462586402792,-22.852555555555558,-23.956
